Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2019-03-27,1780.1417236328125,1807.3698458728184,1773.9000339122106,1803.751487823023,2266166
2019-03-28,1809.450439453125,1822.3860031807917,1784.5742279496994,1791.0872282466412,4054489
2019-04-01,1837.809326171875,1845.3173529573694,1816.6419092526069,1818.224940917585,2095740
2019-04-02,1880.91259765625,1886.9733018677293,1842.6484256493598,1842.7388624957177,3719663
2019-04-03,1880.91259765625,1890.2299117246134,1861.735348441376,1886.0687125571503,2939886
2019-04-04,1822.29541015625,1881.274596933574,1815.8728472758949,1879.8724391450357,4397518
2019-04-05,1852.87060546875,1858.3884685783237,1826.1852168253233,1835.095400779188,3152103
2019-04-08,1873.178955078125,1877.0234609620231,1838.759275877575,1862.5500270461714,2194294
2019-04-09,1891.9490966796875,1897.8289289189504,1861.3286512179322,1872.5004208113571,2690970
2019-04-10,1845.5887451171875,1886.5214203856854,1841.7442397052291,1884.259946613945,3313062
2019-04-11,1826.818603515625,1858.931532668784,1821.5267767117116,1849.8856371326829,3422442
2019-04-12,1822.29541015625,1844.4578512328585,1815.5109894185125,1843.5532618011603,3198471
2019-04-15,1911.6689453125,1917.5487767881211,1846.2670833450302,1872.5001776208783,9189201
2019-04-16,1928.4036865234375,1950.249431735081,1913.7041090826585,1917.729487658576,5771952
2019-04-18,1944.912353515625,1949.3900265766433,1912.4827373565101,1944.7765326064991,3413728
2019-04-22,1955.2249755859375,1968.3867972831372,1940.8873641893254,1943.0582907004498,2007135
2019-04-23,1949.4359130859375,1958.8888304859418,1930.4395309847114,1956.627356426272,2163524
2019-04-24,1975.1253662109375,1985.573416283787,1950.3849825754567,1952.1036138225115,3003071
2019-04-25,1985.574462890625,1994.620360215867,1961.1958137685183,1967.4826682401408,4211526
2019-04-26,2024.96923828125,2029.8539341322723,1983.9007349916096,1992.811031528609,2716958
2019-04-30,2044.6895751953125,2050.6597351697374,2017.3257346496412,2024.9694740376046,3488395
2019-05-02,2004.027587890625,2043.8295278355993,2000.1380295281933,2039.8494221799244,2457699
2019-05-03,1928.585205078125,1977.4783216370706,1922.2530772940975,1976.5284583000484,3780886
2019-05-06,1951.9686279296875,1958.4363548041908,1907.3270457758138,1908.6839300863016,2891422
2019-05-07,1946.631591796875,1975.9404280414096,1934.7363266131065,1953.9588560697775,2201698
2019-05-08,1947.445068359375,1961.1495072506762,1927.1368628820728,1945.7714898967733,1824895
2019-05-09,1965.2657470703125,1975.7137988199822,1932.293507577321,1940.3442649064225,2264162
2019-05-10,1932.022216796875,1982.8601003836543,1923.0215958208364,1967.4820795321389,2039633
2019-05-13,1925.6448974609375,1960.2454458240054,1919.222223674334,1929.4894028346116,1701744
2019-05-14,1892.7176513671875,1953.7321600337177,1874.6258640177632,1931.298299551029,2456110
2019-05-15,1895.476806640625,1921.3481554530606,1885.616869134607,1896.924238222725,2346876
2019-05-16,1907.552978515625,1921.3479674533196,1878.8775374833974,1896.0194631742738,1946529
2019-05-17,1895.52197265625,1931.2985305890286,1890.5920041831707,1911.0358146724843,1947908
2019-05-20,1939.394775390625,1946.1339235557919,1854.4086289783238,1922.2528471116773,2625116
2019-05-21,1908.4578857421875,1943.6916060707752,1901.9448848696086,1943.1037111766448,1863157
2019-05-22,1883.1292724609375,1919.4937277525232,1877.02329307383,1908.6839269329066,2595795
2019-05-23,1858.0723876953125,1913.5237766022651,1854.4087554967446,1897.8290580644732,2541294
2019-05-24,1852.599365234375,1872.5003349781036,1838.352080076933,1872.5003349781036,2274208
2019-05-27,1859.06689453125,1871.5502729407879,1845.4528897481139,1858.7504207362765,2329820
2019-05-28,1875.892578125,1897.3765799239,1849.8856285789634,1863.4544718203738,5872979
2019-05-29,1906.467529296875,1921.0765604972466,1878.922824861441,1881.5460459135654,3281320
2019-05-30,1941.5206298828125,1950.7926729353037,1912.6640902160896,1920.4436488233464,4971725
2019-05-31,1986.9761962890625,1994.574660078717,1946.9028355373289,1953.9134044653877,4265370
2019-06-03,2028.3614501953125,2033.2008723952795,1977.1163131598491,1991.001852857778,3682419
